ds,name,open,y,low,close,volumefrom,volumeto,hour_low,minute_low,second_low,hour_high,minute_high,second_high,SMA_20,EMA_12,EMA_26,RSI,BB_upper,BB_lower,ROC_1,ROC_7,ROC_30,VROC_1,VROC_7,VROC_30,PMO_12_26,OBV,PVT,RVI,CMF,ATR,Stochastic_Oscillator,MACD_Histogram,close_lag_1,close_lag_7,close_lag_30,close_to_volume_ratio,close_mean,close_std,year,month,day,day_of_week_sin,day_of_week_cos,close_detrended
2021-02-15,2781,8.72426582,9.31063831,7.84047064,8.8617388,0.002683144291291009,2320890605.34,3,7,4,18,34,5,12.467242424000002,10.878576440320924,12.760881107157818,33.72810143182727,17.49830823669566,7.436176611304345,6.795380030660625,-38.69338852360242,-37.68205054172501,53.3742700299378,-80.86610341080907,16.007267011257163,-1.8823046668368928,-27756988924.529984,0.06795380030660621,-1.0,225891345.504673,2.6150934734769926,19.943095483478984,-0.38071192344001004,8.29786719,14.45478487,14.22020281,8.066786470205671e-08,12.467242424000002,2.5155329063478287,2021,2,15,0.0,1.0,7.6326583515606075
2021-02-16,2781,8.86074792,8.98036803,7.98355724,8.29786719,0.0004349380376234415,2173212553.93,20,43,5,3,22,5,12.7180420975,11.245274193106544,13.072812491730444,35.225247528863704,17.48552021168588,7.950563983314119,0.9156496589848295,-45.414292488618955,-41.68761406462615,-20.370942625934696,-85.23961166480312,-9.420332043812119,-1.827538298623896,-27866843559.119984,0.009156496589848245,-1.0,251803701.77854156,2.703164689129069,19.40093916424941,-0.4211235360870156,8.22257719,15.20153822,14.23002516,1.1585121809576092e-07,12.7180420975,2.3837390570929404,2021,2,16,-2.4492935982947064e-16,1.0,7.538279229621478
2021-02-17,2781,8.29868913,8.43329825,7.54439928,8.22257719,0.0015125037253327482,2153494092.55,4,45,5,19,22,4,12.983258126,11.781166375489553,13.45480811586888,34.68491433657931,17.282560455155956,8.683955796844046,-8.439162609423834,-52.47808827121513,-42.11407930899441,16.352781528175186,-76.04180482608439,30.90053326144897,-1.6736417403793222,-27938468763.639984,-0.08439162609423834,-1.0,292453283.3051758,2.8344226813697673,22.052486585574623,-0.3725078618641957,8.98045215,17.30270709,14.20479642,9.141419912348905e-08,12.983258126,2.149651164577977,2021,2,17,-4.898587196589413e-16,1.0,7.282256004440738
2021-02-18,2781,8.23287085,9.27917537,8.23287085,8.98045215,0.0007690610396836785,2351981649.26,0,0,4,16,11,7,13.3144448155,12.428182591033108,13.873386589938391,39.441673467916885,17.053631131557914,9.575258499442088,-21.675178449737942,-34.999689016675894,-36.810696223901914,-70.40047476699749,-78.79131646502077,13.603424771399798,-1.4452039989052778,-27848520185.969986,-0.21675178449737945,-1.0,306252324.80348206,2.941989589936673,24.18032228019076,-0.23719708585620025,11.46565287,13.81601413,14.21198148,1.1616643799156818e-07,13.3144448155,1.8695931580289562,2021,2,18,-7.347880794884119e-16,1.0,9.424824400129124
2021-02-19,2781,8.97997007,11.68057695,8.5569807,11.46565287,0.011582073442647148,3002856056.82,2,10,5,14,40,6,13.576976386000002,13.055042671220946,14.264821345133463,46.72941755901298,16.725592476570732,10.428360295429272,14.625992564832725,-15.618908245044627,-20.000780577676235,86.20187826671592,-9.84220396264972,306.6299276010147,-1.2097786739125116,-27771213415.569984,0.14625992564832715,-1.0,308718019.6328697,2.919620941470263,32.33057145077193,-0.06107103232748412,10.00266398,13.58794089,14.33220593,4.390014997165276e-08,13.576976386000002,1.5743080452853646,2021,2,19,-9.797174393178826e-16,1.0,11.378895640091997
2021-02-20,2781,11.47808705,11.78673714,9.81585439,10.00266398,0.004471513784682348,2619699067.57,23,44,5,0,19,5,13.803307709499999,13.3440226350793,14.48875482314414,40.78677449460779,16.963652614661214,10.642962804338783,-9.768143942511687,-24.228945099586664,-32.95483943858854,1.8312766949417192,-43.359603583878794,-46.257692003254725,-1.1447321880648342,-28032389126.299984,-0.0976814394251169,-1.0,271935584.7599869,2.9039305331218217,46.92602582346669,-0.011292304561677735,11.08551283,13.20116764,14.91929305,7.131271187282294e-08,13.803307709499999,1.5801724525806082,2021,2,20,-1.2246467991473533e-15,1.0,10.861802557485136
2021-02-21,2781,9.98755024,11.64028854,9.88704665,11.08551283,0.004323173251545666,2903297329.61,0,13,5,18,13,7,14.0307816105,13.951542390548264,14.84764209059567,41.39413360942531,16.64744590493119,11.414117316068811,-23.309043132096086,-15.308245915024354,-21.959557158426858,-76.00876650021821,-54.16124085092816,28.995609856585382,-0.8960997000474009,-27892124316.319984,-0.23309043132096083,-1.0,296775208.28232193,2.9757034395158075,57.18898985646219,0.23451710731533626,14.45478487,13.08924694,14.20483076,8.048005229950526e-08,14.0307816105,1.3083321472155947,2021,2,21,-1.4695761589768238e-15,1.0,12.440176954244716
2021-02-22,2781,11.07303597,14.5456406,9.25590402,14.45478487,0.0299867375848726,3785710139.32,14,20,6,23,58,5,14.241946106,14.472638674284312,15.148612431443324,53.24698947434486,16.51720655731146,11.966685654688538,-4.912353863094787,-3.348599747833114,5.808285939665669,18.316923879902582,87.34967168668739,383.2239782415794,-0.6759737571590065,-27754381950.189983,-0.04912353863094787,-1.0,203130441.80879593,2.8532392256324086,61.949705162900464,0.5132723270325648,15.20153822,14.95558764,13.66129764,2.517657629592244e-08,14.241946106,1.137630225655731,2021,2,22,0.0,1.0,13.40096877943598
2021-02-23,2781,14.42162567,15.74337116,11.59989436,15.20153822,0.024759659834792575,3981284942.91,9,12,4,13,54,4,14.244620162,14.475884820517823,15.20411863635879,51.30345130108267,16.52105925597886,11.968181068021142,-12.143584579400047,8.901954494064235,16.709707320912635,29.249207728065873,171.77443286196183,317.3214922046892,-0.7282338158409605,-27180245709.419983,-0.12143584579400048,-1.0,-31585973.392204285,2.6153626891425943,54.31453236808039,0.5893303501087519,17.30270709,13.95892139,13.02508469,3.132704596422945e-08,14.244620162,1.1382195469894292,2021,2,23,-2.4492935982947064e-16,1.0,14.574659368209897
2021-02-24,2781,15.2138421,18.14662172,14.86179947,17.30270709,0.018301740192480577,4531581356.7,0,25,4,18,39,5,14.193876348,14.343947838793792,15.204325069667494,62.650349889663694,16.425302575817568,11.96245012018243,25.236605342122644,22.578697589286413,17.072968811194556,2.9998004412423063,144.06025829890078,150.3142989437051,-0.860377230873695,-26694992863.129982,0.2523660534212264,-1.0,-167107462.91010284,2.3778665321535635,49.26056164023083,0.6045195226032054,13.81601413,14.11559058,14.77942113,4.608651345440598e-08,14.193876348,1.115713113908785,2021,2,24,-4.898587196589413e-16,1.0,16.56161156369196
2021-02-25,2781,17.23018337,17.69544462,13.79591349,13.81601413,0.017658705341654465,3618415994.75,23,51,11,0,50,5,14.009879637999997,13.805991611301756,15.036454508040892,39.552226753143024,15.704188010474695,12.3155712655253,1.6784974400929853,5.481995147326235,-16.30879122402962,25.82713841517359,213.24448848829854,62.81818201332936,-1.230462896739132,-27070432569.739983,0.016784974400929905,-1.0,-182536742.33903885,2.227655681549991,47.98128786591613,0.38556373738856964,13.58794089,13.09798332,16.50832188,3.790346820619107e-08,14.009879637999997,0.8471541862373488,2021,2,25,-7.347880794884119e-16,1.0,14.216623464215926
2021-02-26,2781,13.86589069,15.48370533,13.12014142,13.58794089,0.013258792063429952,3558683580.88,7,55,6,18,35,7,14.030089071999999,13.804169335174803,15.134089738284164,45.8536245006884,15.7243032302746,12.335874913725398,2.9298412121369077,7.751496872297392,-24.579459232603394,16.978771243298162,218.41327495877775,-32.017439635306545,-1.329920403109357,-27434937845.479984,0.02929841212136906,-1.0,-37722213.61816406,2.0830519855153753,53.83998841047801,0.38249716536548695,13.20116764,12.61044281,18.01623371,4.690554109737416e-08,14.030089071999999,0.8471070791373008,2021,2,26,-9.797174393178826e-16,1.0,13.644440877729554
2021-02-27,2781,13.60157446,14.6120646,13.0572728,13.20116764,0.010786117116956937,3457387613.23,23,31,17,1,53,5,14.062193285500001,13.843483597933858,15.257781646146897,41.21593476116543,15.745428483808439,12.378958087191563,0.8550583583076588,1.2634543112226115,-29.985138968291057,-17.588511705166077,108.36156356909186,14.252613020746807,-1.4142980482130358,-27724625173.929985,0.008550583583076542,-1.0,44070184.86338425,2.061474145170404,63.73602558524316,0.39374381160317995,13.08924694,13.03645795,18.85480803,5.3307694808975014e-08,14.062193285500001,0.841617599154219,2021,2,27,-1.2246467991473533e-15,1.0,13.911390997104075
