timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-04-03T00:00:00.000Z";"2024-04-03T23:59:59.999Z";"2024-04-03T06:32:00.000Z";"2024-04-03T00:40:00.000Z";"2781";181.1727225989;191.6926728984;177.3955071733;185.2486039186;4160370221.42;82401380826.41;"2024-04-03T23:59:59.999Z"
"2024-04-02T00:00:00.000Z";"2024-04-02T23:59:59.999Z";"2024-04-02T00:00:00.000Z";"2024-04-02T13:43:00.000Z";"2781";192.5678236508;192.5694321078;176.1320815101;181.1722574827;4553269015.22;80589823339.92;"2024-04-02T23:59:59.999Z"
"2024-04-01T00:00:00.000Z";"2024-04-01T23:59:59.999Z";"2024-04-01T01:32:00.000Z";"2024-04-01T15:56:00.000Z";"2781";202.8744339989;204.1797657778;187.4888980119;192.5678236508;3872515434.01;85635905165.52;"2024-04-01T23:59:59.999Z"
"2024-03-31T00:00:00.000Z";"2024-03-31T23:59:59.999Z";"2024-03-31T23:58:00.000Z";"2024-03-31T03:20:00.000Z";"2781";194.375797898;203.0267870553;194.0353212305;202.874131194;2342185475.68;90192360865.17;"2024-03-31T23:59:59.999Z"
"2024-03-30T00:00:00.000Z";"2024-03-30T23:59:59.999Z";"2024-03-30T05:40:00.000Z";"2024-03-30T00:28:00.000Z";"2781";192.2278542586;199.7309416236;191.2167745878;194.3855423184;2999311845.75;86381585799.89;"2024-03-30T23:59:59.999Z"
"2024-03-29T00:00:00.000Z";"2024-03-29T23:59:59.999Z";"2024-03-29T23:25:00.000Z";"2024-03-29T10:07:00.000Z";"2781";189.6216335012;192.9698132311;183.6461580817;192.227955706;3031009580.49;85426393569.72;"2024-03-29T23:59:59.999Z"
"2024-03-28T00:00:00.000Z";"2024-03-28T23:59:59.999Z";"2024-03-28T23:22:00.000Z";"2024-03-28T03:45:00.000Z";"2781";186.361467314;190.8834698768;180.9976150687;189.6216335012;2910414255.51;84246500601.21;"2024-03-28T23:59:59.999Z"
"2024-03-27T00:00:00.000Z";"2024-03-27T23:59:59.999Z";"2024-03-27T01:15:00.000Z";"2024-03-27T16:16:00.000Z";"2781";190.6999853581;192.4965833717;180.4204444354;186.361467314;3844985014.18;82799408956.75;"2024-03-27T23:59:59.999Z"
"2024-03-26T00:00:00.000Z";"2024-03-26T23:59:59.999Z";"2024-03-26T07:31:00.000Z";"2024-03-26T17:17:00.000Z";"2781";189.083387541;196.2930411859;186.7528260582;190.6998650111;3520179570.59;84728545592.52;"2024-03-26T23:59:59.999Z"
"2024-03-25T00:00:00.000Z";"2024-03-25T23:59:59.999Z";"2024-03-25T17:16:00.000Z";"2024-03-25T01:01:00.000Z";"2781";183.5734516463;194.4302652045;181.2523511846;189.0835389952;4066489820.54;83987620158.75;"2024-03-25T23:59:59.999Z"
"2024-03-24T00:00:00.000Z";"2024-03-24T23:59:59.999Z";"2024-03-24T23:11:00.000Z";"2024-03-24T04:05:00.000Z";"2781";172.8978673329;186.6294245728;171.6737275536;183.5734516463;2661231892.98;81539943651.14;"2024-03-24T23:59:59.999Z"
"2024-03-23T00:00:00.000Z";"2024-03-23T23:59:59.999Z";"2024-03-23T14:38:00.000Z";"2024-03-23T03:38:00.000Z";"2781";174.3637086084;178.8001094295;171.0169698444;172.9022482533;2711581880.97;76777960668.96;"2024-03-23T23:59:59.999Z"
"2024-03-22T00:00:00.000Z";"2024-03-22T23:59:59.999Z";"2024-03-22T00:22:00.000Z";"2024-03-22T14:28:00.000Z";"2781";179.2398091874;181.3232397299;167.8778525683;174.3637086084;4150938142.38;77430916620.27;"2024-03-22T23:59:59.999Z"
"2024-03-21T00:00:00.000Z";"2024-03-21T23:59:59.999Z";"2024-03-21T00:52:00.000Z";"2024-03-21T20:06:00.000Z";"2781";191.5496193378;195.3061260617;176.2833179466;179.2207460832;5613811274.96;79575489104.09;"2024-03-21T23:59:59.999Z"
"2024-03-20T00:00:00.000Z";"2024-03-20T23:59:59.999Z";"2024-03-20T22:17:00.000Z";"2024-03-20T05:28:00.000Z";"2781";170.0162748715;192.9118194235;163.2962696776;191.5496193378;8673957460.22;85046806349.53;"2024-03-20T23:59:59.999Z"
"2024-03-19T00:00:00.000Z";"2024-03-19T23:59:59.999Z";"2024-03-19T00:22:00.000Z";"2024-03-19T22:31:00.000Z";"2781";195.9927520823;198.2410709;166.176735886;170.0162748715;11658593921.57;75466865630.06;"2024-03-19T23:59:59.999Z"
"2024-03-18T00:00:00.000Z";"2024-03-18T23:59:59.999Z";"2024-03-18T10:16:00.000Z";"2024-03-18T01:08:00.000Z";"2781";202.1226040964;209.6960618569;194.8494080814;195.9927520823;11137647409.7;86998068120.46;"2024-03-18T23:59:59.999Z"
"2024-03-17T00:00:00.000Z";"2024-03-17T23:59:59.999Z";"2024-03-17T22:46:00.000Z";"2024-03-17T07:40:00.000Z";"2781";181.8803407938;204.2925453175;179.2255970494;202.1235607856;10876218561.57;89697345896;"2024-03-17T23:59:59.999Z"
"2024-03-16T00:00:00.000Z";"2024-03-16T23:59:59.999Z";"2024-03-16T10:41:00.000Z";"2024-03-16T20:20:00.000Z";"2781";182.9675105582;197.6559970548;177.4612712147;181.8803407938;11794134069.35;80716457995.81;"2024-03-16T23:59:59.999Z"
"2024-03-15T00:00:00.000Z";"2024-03-15T23:59:59.999Z";"2024-03-15T19:17:00.000Z";"2024-03-15T09:11:00.000Z";"2781";176.6797551198;188.5013617708;165.4127201378;182.9646984744;14093348410.08;81165758924.9;"2024-03-15T23:59:59.999Z"
"2024-03-14T00:00:00.000Z";"2024-03-14T23:59:59.999Z";"2024-03-14T23:47:00.000Z";"2024-03-14T19:45:00.000Z";"2781";163.8399322101;177.8926276641;160.2335581511;176.6797551198;8399967971.85;78373508249.59;"2024-03-14T23:59:59.999Z"
"2024-03-13T00:00:00.000Z";"2024-03-13T23:59:59.999Z";"2024-03-13T21:58:00.000Z";"2024-03-13T04:25:00.000Z";"2781";151.0154447409;166.4487593107;148.9456190667;163.8398136601;5917471836.1;72668118573.65;"2024-03-13T23:59:59.999Z"
"2024-03-12T00:00:00.000Z";"2024-03-12T23:59:59.999Z";"2024-03-12T03:29:00.000Z";"2024-03-12T17:24:00.000Z";"2781";148.7496839667;154.9422949258;142.8701542239;151.0154447409;6413617982.8;66980515085.21;"2024-03-12T23:59:59.999Z"
"2024-03-11T00:00:00.000Z";"2024-03-11T23:59:59.999Z";"2024-03-11T12:33:00.000Z";"2024-03-11T01:47:00.000Z";"2781";144.5144865849;150.0179751634;137.6329868205;148.7509675632;5383624184.2;65976301021;"2024-03-11T23:59:59.999Z"
"2024-03-10T00:00:00.000Z";"2024-03-10T23:59:59.999Z";"2024-03-10T07:57:00.000Z";"2024-03-10T22:46:00.000Z";"2781";144.6073343293;148.6719276322;140.8399887147;144.5151840443;3407621981;64055231607.5;"2024-03-10T23:59:59.999Z"
"2024-03-09T00:00:00.000Z";"2024-03-09T23:59:59.999Z";"2024-03-09T07:10:00.000Z";"2024-03-09T17:23:00.000Z";"2781";145.2403203369;149.3512847988;144.2903691016;144.6072583841;2946261381.23;64096767397.98;"2024-03-09T23:59:59.999Z"
"2024-03-08T00:00:00.000Z";"2024-03-08T23:59:59.999Z";"2024-03-08T14:57:00.000Z";"2024-03-08T16:16:00.000Z";"2781";143.9772841739;152.4179239682;142.5361472664;145.240039143;5474659974.2;64360205716.59;"2024-03-08T23:59:59.999Z"
"2024-03-07T00:00:00.000Z";"2024-03-07T23:59:59.999Z";"2024-03-07T19:05:00.000Z";"2024-03-07T00:01:00.000Z";"2781";130.7420202634;149.2247287832;130.7017572272;143.9778597987;7111178325.47;63801239283.41;"2024-03-07T23:59:59.999Z"
"2024-03-06T00:00:00.000Z";"2024-03-06T23:59:59.999Z";"2024-03-06T08:26:00.000Z";"2024-03-06T03:01:00.000Z";"2781";125.6992138858;134.8106275504;120.3173346858;130.7420202634;5146680158.96;57850874885.99;"2024-03-06T23:59:59.999Z"
